url,collectedAt,content.entityName,content.shortDescription,content.industry,content.headquarters,content.founders
"https://github.com/openclaw","2026-06-24T04:53:42.404Z","openclaw","Creator of openclaw. Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ","Artificial Intelligence","Global",""
"https://github.com/obra","2026-06-24T04:53:42.404Z","obra","Creator of superpowers. An agentic skills framework & software development methodology that works.","Artificial Intelligence","Global",""
"https://github.com/NousResearch","2026-06-24T04:53:42.404Z","NousResearch","Creator of hermes-agent. The agent that grows with you","Artificial Intelligence","Global",""
"https://github.com/n8n-io","2026-06-24T04:53:42.404Z","n8n-io","Creator of n8n. Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","Artificial Intelligence","Global",""
"https://github.com/Significant-Gravitas","2026-06-24T04:53:42.404Z","Significant-Gravitas","Creator of AutoGPT. AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.","Artificial Intelligence","Global",""
"https://github.com/f","2026-06-24T04:53:42.404Z","f","Creator of prompts.chat. f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.","Artificial Intelligence","Global",""
"https://github.com/AUTOMATIC1111","2026-06-24T04:53:42.404Z","AUTOMATIC1111","Creator of stable-diffusion-webui. Stable Diffusion web UI","Artificial Intelligence","Global",""
"https://github.com/Snailclimb","2026-06-24T04:53:42.404Z","Snailclimb","Creator of JavaGuide. Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发","Artificial Intelligence","Global",""
"https://github.com/langgenius","2026-06-24T04:53:42.404Z","langgenius","Creator of dify. Production-ready platform for agentic workflow development.","Artificial Intelligence","Global",""
"https://github.com/open-webui","2026-06-24T04:53:42.404Z","open-webui","Creator of open-webui. User-friendly AI Interface (Supports Ollama, OpenAI API, ...)","Artificial Intelligence","Global",""
"https://github.com/x1xhlol","2026-06-24T04:53:42.404Z","x1xhlol","Creator of system-prompts-and-models-of-ai-tools. FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, ","Artificial Intelligence","Global",""
"https://github.com/langchain-ai","2026-06-24T04:53:42.404Z","langchain-ai","Creator of langchain. The agent engineering platform.","Artificial Intelligence","Global",""
"https://github.com/firecrawl","2026-06-24T04:53:42.404Z","firecrawl","Creator of firecrawl. The API to search, scrape, and interact with the web at scale. 🔥","Artificial Intelligence","Global",""
"https://github.com/Comfy-Org","2026-06-24T04:53:42.404Z","Comfy-Org","Creator of ComfyUI. The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.","Artificial Intelligence","Global",""
"https://github.com/github","2026-06-24T04:53:42.404Z","github","Creator of spec-kit. 💫 Toolkit to help you get started with Spec-Driven Development","Artificial Intelligence","Global",""
"https://github.com/microsoft","2026-06-24T04:53:42.404Z","microsoft","Creator of generative-ai-for-beginners. 21 Lessons, Get Started Building with Generative AI ","Artificial Intelligence","Global",""
"https://github.com/google-gemini","2026-06-24T04:53:42.404Z","google-gemini","Creator of gemini-cli. An open-source AI agent that brings the power of Gemini directly into your terminal.","Artificial Intelligence","Global",""
"https://github.com/supabase","2026-06-24T04:53:42.404Z","supabase","Creator of supabase. The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.","Artificial Intelligence","Global",""
"https://github.com/rasbt","2026-06-24T04:53:42.404Z","rasbt","Creator of LLMs-from-scratch. Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","Artificial Intelligence","Global",""
"https://github.com/hacksider","2026-06-24T04:53:42.404Z","hacksider","Creator of Deep-Live-Cam. real time face swap and one-click video deepfake with only a single image","Artificial Intelligence","Global",""
"https://github.com/harry0703","2026-06-24T04:53:42.404Z","harry0703","Creator of MoneyPrinterTurbo. 利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.","Artificial Intelligence","Global",""
"https://github.com/punkpeye","2026-06-24T04:53:42.404Z","punkpeye","Creator of awesome-mcp-servers. A collection of MCP servers.","Artificial Intelligence","Global",""
"https://github.com/thedotmack","2026-06-24T04:53:42.404Z","thedotmack","Creator of claude-mem. Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future s","Artificial Intelligence","Global",""
"https://github.com/infiniflow","2026-06-24T04:53:42.404Z","infiniflow","Creator of ragflow. RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs","Artificial Intelligence","Global",""
"https://github.com/netdata","2026-06-24T04:53:42.405Z","netdata","Creator of netdata. The fastest path to AI-powered full stack observability, even for lean teams.","Artificial Intelligence","Global",""
"https://github.com/lobehub","2026-06-24T04:53:42.405Z","lobehub","Creator of lobehub. 🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team.","Artificial Intelligence","Global",""
"https://github.com/JuliusBrussee","2026-06-24T04:53:42.405Z","JuliusBrussee","Creator of caveman. 🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman","Artificial Intelligence","Global",""
"https://github.com/bytedance","2026-06-24T04:53:42.405Z","bytedance","Creator of deer-flow. An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles ","Artificial Intelligence","Global",""
"https://github.com/hiyouga","2026-06-24T04:53:42.405Z","hiyouga","Creator of LlamaFactory. Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)","Artificial Intelligence","Global",""
"https://github.com/daytonaio","2026-06-24T04:53:42.405Z","daytonaio","Creator of daytona. Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code","Artificial Intelligence","Global",""
"https://github.com/OpenBB-finance","2026-06-24T04:53:42.405Z","OpenBB-finance","Creator of OpenBB. Financial data platform for analysts, quants and AI agents.","Artificial Intelligence","Global",""
"https://github.com/D4Vinci","2026-06-24T04:53:42.405Z","D4Vinci","Creator of Scrapling. 🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!","Artificial Intelligence","Global",""
"https://github.com/code-yeongyu","2026-06-24T04:53:42.405Z","code-yeongyu","Creator of oh-my-openagent. omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode","Artificial Intelligence","Global",""
"https://github.com/docling-project","2026-06-24T04:53:42.405Z","docling-project","Creator of docling. Get your documents ready for gen AI","Artificial Intelligence","Global",""
"https://github.com/sansan0","2026-06-24T04:53:42.405Z","sansan0","Creator of TrendRadar. ⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  A","Artificial Intelligence","Global",""
"https://github.com/shanraisshan","2026-06-24T04:53:42.405Z","shanraisshan","Creator of claude-code-best-practice. from vibe coding to agentic engineering - practice makes claude perfect","Artificial Intelligence","Global",""
"https://github.com/mem0ai","2026-06-24T04:53:42.405Z","mem0ai","Creator of mem0. Universal memory layer for AI Agents","Artificial Intelligence","Global",""
"https://github.com/koala73","2026-06-24T04:53:42.405Z","koala73","Creator of worldmonitor. Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface","Artificial Intelligence","Global",""
"https://github.com/microsoft","2026-06-24T04:53:42.405Z","microsoft","Creator of autogen. A programming framework for agentic AI","Artificial Intelligence","Global",""
"https://github.com/meilisearch","2026-06-24T04:53:42.405Z","meilisearch","Creator of meilisearch. A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.","Artificial Intelligence","Global",""
"https://github.com/zylon-ai","2026-06-24T04:53:42.405Z","zylon-ai","Creator of private-gpt. Interact with your documents using the power of GPT, 100% privately, no data leaks","Artificial Intelligence","Global",""
"https://github.com/Fission-AI","2026-06-24T04:53:42.405Z","Fission-AI","Creator of OpenSpec. Spec-driven development (SDD) for AI coding assistants.","Artificial Intelligence","Global",""
"https://github.com/MemPalace","2026-06-24T04:53:42.405Z","MemPalace","Creator of mempalace. The best-benchmarked open-source AI memory system. And it's free.","Artificial Intelligence","Global",""
"https://github.com/AntonOsika","2026-06-24T04:53:42.405Z","AntonOsika","Creator of gpt-engineer. CLI platform to experiment with codegen. Precursor to: https://lovable.dev","Artificial Intelligence","Global",""
"https://github.com/lencx","2026-06-24T04:53:42.405Z","lencx","Creator of ChatGPT. 🔮 ChatGPT Desktop Application (Mac, Windows and Linux)","Artificial Intelligence","Global",""
"https://github.com/crewAIInc","2026-06-24T04:53:42.405Z","crewAIInc","Creator of crewAI. Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","Artificial Intelligence","Global",""
"https://github.com/dbeaver","2026-06-24T04:53:42.405Z","dbeaver","Creator of dbeaver. Free universal database tool and SQL client","Artificial Intelligence","Global",""
"https://github.com/aaif-goose","2026-06-24T04:53:42.405Z","aaif-goose","Creator of goose. an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM","Artificial Intelligence","Global",""
"https://github.com/Leonxlnx","2026-06-24T04:53:42.405Z","Leonxlnx","Creator of taste-skill. Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop ","Artificial Intelligence","Global",""
"https://github.com/headroomlabs-ai","2026-06-24T04:53:42.405Z","headroomlabs-ai","Creator of headroom. Compress tool outputs, logs, files, and RAG chunks before they reach the LLM. 60-95% fewer tokens, same answers. Library, proxy, MCP server.","Artificial Intelligence","Global",""
"https://github.com/microsoft","2026-06-24T04:53:42.405Z","microsoft","Creator of AI-For-Beginners. 12 Weeks, 24 Lessons, AI for All!","Artificial Intelligence","Global",""
"https://github.com/ClickHouse","2026-06-24T04:53:42.405Z","ClickHouse","Creator of ClickHouse. ClickHouse® is a real-time analytics database management system","Artificial Intelligence","Global",""
"https://github.com/mudler","2026-06-24T04:53:42.405Z","mudler","Creator of LocalAI. LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.","Artificial Intelligence","Global",""
"https://github.com/GitHubDaily","2026-06-24T04:53:42.405Z","GitHubDaily","Creator of GitHubDaily. 坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.","Artificial Intelligence","Global",""
"https://github.com/jeecgboot","2026-06-24T04:53:42.405Z","jeecgboot","Creator of JeecgBoot. AI 低代码平台「低代码 + 零代码」双驱动！低代码可一键生成前后端代码;零代码可 5 分钟搭建系统;AI Skills 一句话画流程、设计表单、生成整套系统。内置 AI聊天、知识库、流程编排、MCP插件等，兼容主流大模型。引领「AI 生成 → 在线配置 → 代码生成 → 手工合并->AI修改」开发模式，消除 Java 项目 80% 的重复工作，提效而不","Artificial Intelligence","Global",""
"https://github.com/upscayl","2026-06-24T04:53:42.405Z","upscayl","Creator of upscayl. 🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.","Artificial Intelligence","Global",""
"https://github.com/zhayujie","2026-06-24T04:53:42.405Z","zhayujie","Creator of CowAgent. Open-source super AI assistant & Agent Harness. Plans tasks, runs tools and skills, self-evolves with memory and knowledge. Multi-model, multi-channel. Lightweight, extensible, on","Artificial Intelligence","Global",""
